begrip,definitie,categorie,organisatorische_context,juridische_context,wettelijke_basis,status,validation_score,created_at,updated_at,voorkeursterm,voorbeeld_zinnen,praktijkvoorbeelden,tegenvoorbeelden,synoniemen,antoniemen,toelichting
Strafrechtketen,"""De verschillende organisaties die samenwerken in de uitvoering van het strafrechtproces.""@nl",type,"[""Strafrechtketen""]","[""Strafrecht""]",[],draft,,2025-09-24T07:24:25.347384,2025-09-24T07:24:25.347384,,,,,,,
Strafrechtketendatabank,"""het centrale register van de identiteitsgegevens van verdachten en veroordeelden in de strafrechtsketen zoals bedoeld in art. 27b lid 4 WvSv""@nl",type,"[""Strafrechtketen""]","[""Strafrecht""]",[],draft,,2025-09-24T07:24:25.297238,2025-09-24T07:24:25.297238,,,,,,,
Strafrechtketennummer (SKN),"""het nummer zoals bedoeld in art. 27b lid 1 WvSv waaronder verdachten en veroordeelden in de strafrechtketen en de SKDB uniek worden aangeduid""@nl",type,"[""Strafrechtketen""]","[""Strafrecht""]",[],draft,,2025-09-24T07:24:25.090480,2025-09-24T07:24:25.090480,,,,,,,
