id,begrip,definitie,categorie,organisatorische_context,juridische_context,wettelijke_basis,ufo_categorie,toelichting_proces,status,version_number,previous_version_id,validation_score,validation_date,validation_issues,source_type,source_reference,imported_from,created_at,updated_at,created_by,updated_by,datum_voorstel,ketenpartners,approved_by,approved_at,approval_notes,last_exported_at,export_destinations,voorkeursterm,voorbeeld_zinnen,praktijkvoorbeelden,tegenvoorbeelden,synoniemen,antoniemen,toelichting
37,Strafrechtketen,"""De verschillende organisaties die samenwerken in de uitvoering van het strafrechtproces.""@nl",type,"[""Strafrechtketen""]","[""Strafrecht""]",[],,,draft,1,,,,,imported,,single_import_ui,2025-09-24T07:24:25.347384,2025-09-24T07:24:25.347384,ui_user,,,,,,,,,,,,,,,
32,Strafrechtketendatabank,"""het centrale register van de identiteitsgegevens van verdachten en veroordeelden in de strafrechtsketen zoals bedoeld in art. 27b lid 4 WvSv""@nl",type,"[""Strafrechtketen""]","[""Strafrecht""]",[],,,draft,1,,,,,imported,,single_import_ui,2025-09-24T07:24:25.297238,2025-09-24T07:24:25.297238,ui_user,,,,,,,,,,,,,,,
10,Strafrechtketennummer (SKN),"""het nummer zoals bedoeld in art. 27b lid 1 WvSv waaronder verdachten en veroordeelden in de strafrechtketen en de SKDB uniek worden aangeduid""@nl",type,"[""Strafrechtketen""]","[""Strafrecht""]",[],Quality,,draft,1,,,,,imported,,single_import_ui,2025-09-24T07:24:25.090480,2025-09-24T07:24:25.090480,ui_user,,,,,,,,,,,,,,,
